CARRIER_IND,Carr,FLT,REPORT_DT,SCH_DPRT_STA_CD,Orig,SCH_ARRV_STA_CD,Dest,SCH_FLEET_TYPE_DSCR,ACT_FLEET_TYPE_DSCR,Gate,SCH_DPRT_DTMZ,SCH_ARRV_DTMZ,SCH_ARRV_DTML,SCH_DPRT_DTML,SCH_CD,DPRT_DELAY_MIN,ARRV_DELAY_MIN,BAG_CNT,CATEGORY,CNXL_CD,CS_D0,CS_RCMD_DPRT_DTMZ,CS_RCMD_DPRT_HOLD_MINUTES,D0,DELAY_CODE,D-OT,EQUIP_CONNECT_CD,EST_CNXL_PAX_CNT,ID,INTL,LEFT_OFF_BAG_CNT,MISCONNECT_CNT,OPER_DELAY_CODE,ORIG_Left_offs,PAX_CNT,PRIORITY_FLT_FLG,RAMP_TCI_DEN,RAMP_TCI_NUM,RETURN_TYPE_CD,SCH_FLEET_TYPE_SHORT_DSCR,Sta Dly,SUBCATEGORY,SUCCESS_CAT,SUCCESS_CD_DSCR,TOTAL_CONNECTIONS,TURN_TYPE,XFER_Left_offs,Area,ARRIVAL_LEG_FLIGHT_NUMBER,ARRIVAL_LEG_ORIGIN,ASM,ATW_Zone,ATW_Zone_Arrv,CG_ARRV_CNT,CG_ARRV_STD,CG_DPRT_CNT,CG_DPRT_STD,COMPLETION_DEN,COMPLETION_NUM,CONX_NRSA,CONX_POSITIVE,CONX_REV,CS_ARRV_CNT,CS_ARRV_STD,CS_DPRT_CNT,CS_DPRT_STD,CURRENT_DT,CURRENT_DTML,Customer_D0,Requotes Delay Reasons,DEP_ind,DEPARTURE_AVAILABLE_GROUND_MINUTES,DEPARTURE_MST_SUCCESS,DIVERT_REASON_CD,EST_ARRV_DTML,EST_ARRV_DTMZ,EST_DPRT_DTML,EST_DPRT_DTMZ,FIRST_VALET_BAG_ON_DTMZ,Hubs_Lines,LAST_UPDATED,LF_NUM,MARKET,MST_INDICATOR,OFF_DTMZ,ON_DTMZ,ORIG_BAGS,ORIG_NRSA,ORIG_POSITIVE,ORIG_REV,prev_act_arrv_dtl,prev_act_arrv_dtml,prev_act_arrv_dtmz,prev_act_arrv_dtz,prev_arrv_diff_minutes,prev_arrv_gate,prev_cnxl_cd,prev_company_id,prev_dprt_sta_cd,prev_flt_num,prev_report_dt,prev_sch_arrv_dtl,prev_sch_arrv_dtml,prev_sch_arrv_dtmz,prev_sch_arrv_dtz,prev_sch_dprt_sta_cd,Ramp_Business_Partner,RCA_25_Bag_Load_Perc,RCA_25_Boarding_Perc,RCA_50_Bag_Load_Perc,RCA_50_Boarding_Perc,RCA_75_Bag_Load_Perc,RCA_75_Boarding_Perc,RCA_95_Bag_Load_Perc,RCA_95_Boarding_Perc,RCA_Boarding_duration_seconds,RCA_company_material_boarded_pounds,RCA_express_freight_boarded_pounds,RCA_flight_notes,RCA_freight_boarded_pounds,RCA_international_mail_boarded_pounds,RCA Root Cause,RCA_Loading_duration_seconds,RCA_priority_mail_boarded_pounds,RCA_root_cause_1,RCA_root_cause_2,RCA_root_cause_3,RCA_total_bags,RCA_total_BE,RCA_total_cold_bags,RCA_total_gate_checks,RCA_total_hot_bags,RCA_total_local_bags,RCA_total_transfer_bags,RCA_wchr_count,RPM,SF_NUM,SLACK,SLACK_DEN,SOC_Zone,SOC_Zone_Arrv,TAXI_IN_MINUTES,TAXI_OUT_MINUTES,TOB_CNT,TOB_STD,TURN_LENGTH,XFER_BAGS,ZONES_COMBINED,ZONES_COMBINED_ARRV,ARRVregion,ARRVregion2,ARRVsubregion,ARRVsubregion2,DEPTregion,DEPTregion2,DEPTsubregion,DEPTsubregion2,TSA0,TSD0,TSIncludeExclude,Turn_Success,OA_Comp_City,_SYSTEM,SUB_REGION,SCH_FLTS,allFlights,24HourClock,String24HourClock,MainlineUAX,STAR-NonSTAR,Priority_ind,MST_Success_Indicator,Delay_flag,INT/DOM,Scheduled_Departure_Date,Early-OnTime,Month,Year,CUST_A14_NUM,TOTAL_PAX,DayofWeek,MST_MINS_BUCKT
ML,UA,954,4/3/2023,SFO,SFO,TLV,TLV,B777-300,B777-300,G5,4/4/2023 2:50,,4/4/2023 20:00,4/3/2023 19:50,S,18,17,403,Late Opportunity, ,0,,0,0,CL,Late,T ,0,94553632,YES,1,0,  ,0,343,0,1,1, ,773,18,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,185,Standard,1,SFO,59,FRA,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,226,0,,4/4/2023 20:19,,4/3/2023 20:00,,,Hubs,5/22/2023 1:29,342,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 16:04,4/3/2023 23:04,4/3/2023,-1,G5,,UA,FRA,59,4/3/2023,4/3/2023,4/3/2023 16:05,4/3/2023 23:05,4/3/2023,FRA,United,6131,839,8023,1396,9883,1891.5,13601,2578.35,,5,66,,4014,290,Aisle Chair,13491,0,Aircraft_Door_Close,Boarding_End,Cargo_Door_Close,363,,198,34,1,130,199,4,0,343,91,1,5,5,5,23,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,SOUTHERN,ATLANTIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,7:00 PM,19,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,0,343,Mon,0
ML,UA,948,4/3/2023,SFO,SFO,LHR,LHR,B777-200,B777-200,G9,4/3/2023 23:00,,4/4/2023 10:25,4/3/2023 16:00,S,6,8,88,Late Opportunity, ,0,,0,0,TA,D-OT,T ,0,94553663,YES,0,0,  ,0,91,0,3,3, ,777,6,Defect - Customer,Aircraft - uncontrollable,TA - Aircraft Servicing,2,Standard,0,SFO,900,LHR,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,178,0,,4/4/2023 10:36,,4/3/2023 16:10,,,Hubs,5/22/2023 1:29,88,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 13:02,4/3/2023 20:02,4/3/2023,-23,G9,,UA,LHR,900,4/3/2023,4/3/2023,4/3/2023 13:25,4/3/2023 20:25,4/3/2023,LHR,United,3540,187.5,4410,320,9526,467.5,9548,599.65,,0,0,,0,0,MX,2745,0,MRD_Upload,Boarding_Start,FA_Min,60,,14,2,0,44,14,2,0,91,73,1,5,5,5,21,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,LHR,ATLANTIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,4:00 PM,16,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,91,91,Mon,0
ML,UA,968,4/3/2023,SFO,SFO,AMS,AMS,B777-200,B777-200,G3,4/3/2023 21:35,,4/4/2023 10:20,4/3/2023 14:35,S,36,50,77,Late Opportunity, ,0,,0,0,VC,Late,O ,0,94553695,YES,3,0,  ,0,124,0,2,2, ,777,36,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,49,Standard,3,SFO,876,HND,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,344,0,,4/4/2023 11:12,,4/3/2023 15:20,,,Hubs,5/22/2023 1:29,110,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 8:51,4/3/2023 15:51,4/3/2023,-19,G13,,UA,HND,876,4/3/2023,4/3/2023,4/3/2023 9:10,4/3/2023 16:10,4/3/2023,HND,United,11187,220,14022,451,18989,701.25,19235,904.6,,5,0,,37690,0,FA Availability,22121,0,FA_Min,Cleaners_Off,Boarding_Start,80,,38,1,6,35,44,4,0,124,0,0,5,5,11,34,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,NORTHERN,ATLANTIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,2:00 PM,14,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,0,124,Mon,0
ML,UA,194,4/3/2023,SFO,SFO,MUC,MUC,B777-200,B777-200,G10,4/3/2023 20:25,,4/4/2023 9:45,4/3/2023 13:25,S,19,-8,171,Late Opportunity, ,0,4/3/2023 20:34,9,0,VC,D-OT,T ,0,94553705,YES,0,0,  ,0,189,1,1,1, ,777,19,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,50,Standard,0,SFO,984,CDG,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,126,0,,4/4/2023 9:36,,4/3/2023 13:45,,,Hubs,5/22/2023 1:29,189,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 11:19,4/3/2023 18:19,4/3/2023,-26,G10,,UA,CDG,984,4/3/2023,4/3/2023,4/3/2023 11:45,4/3/2023 18:45,4/3/2023,CDG,United,1253,226,2289,393,5056,617,5952,800.4,,5,0,,410,0,Late Cabin Cleaning - Off,4447,0,Cleaners_Off,Cabin_Security,FA_Min,87,,27,0,3,57,30,3,0,189,21,1,5,5,6,23,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,NORTHERN,ATLANTIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Include,-1,San Francisco,SYSTEM,SFO,1,1,1:00 PM,13,Mainline,Non-STAR,Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,189,189,Mon,0
ML,UA,871,4/3/2023,SFO,SFO,TPE,TPE,B777-300,B777-300,G12,4/3/2023 21:00,,4/4/2023 18:45,4/3/2023 14:00,S,11,-27,440,Late Opportunity, ,0,,0,0,CL,D-OT,O ,0,94553757,YES,1,0,  ,0,340,0,3,2, ,773,11,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,205,Standard,1,SFO,872,TPE,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,469,0,,4/4/2023 18:15,,4/3/2023 14:10,,4/3/2023 21:02,Hubs,5/22/2023 1:29,324,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 6:11,4/3/2023 13:11,4/3/2023,-9,G9,,UA,TPE,872,4/3/2023,4/3/2023,4/3/2023 6:20,4/3/2023 13:20,4/3/2023,TPE,United,13281,1561,18487,2057,21056,2383,25521,2801.4,,5,0,,18906,1234,MX,16400,0,Cargo_Door_Close,Boarding_End,MRD_Upload,433,,270,14,8,138,281,15,0,340,0,0,5,5,6,26,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,ASIA AND SOUTH PACIFIC REGION,PACIFIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,2:00 PM,14,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,340,340,Mon,0
ML,UA,869,4/3/2023,SFO,SFO,HKG,HKG,B777-300,B777-300,G2,4/3/2023 19:45,,4/4/2023 18:45,4/3/2023 12:45,S,20,-31,371,Late Opportunity, ,0,,0,0,VC,D-OT,O ,0,94553808,YES,1,7,  ,0,326,0,1,1, ,773,20,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,181,Standard,1,SFO,955,TLV,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,421,0,,4/4/2023 18:06,,4/3/2023 13:00,,,Hubs,5/22/2023 1:29,309,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 5:44,4/3/2023 12:44,4/3/2023,-16,G2,,UA,TLV,955,4/3/2023,4/3/2023,4/3/2023 6:00,4/3/2023 13:00,4/3/2023,TLV,United,11112,767,12925,1184,17006,1580.5,20166,1891.05,,3859,0,,8740,0,Late Cabin Cleaning - Off,21340,0,Cleaners_Off,Cabin_Security,Aircraft_Door_Close,376,,173,4,40,156,216,9,0,326,0,0,5,5,15,25,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,ASIA AND SOUTH PACIFIC REGION,PACIFIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,12:00 PM,12,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,326,326,Mon,0
ML,UA,930,4/3/2023,SFO,SFO,LHR,LHR,B787-9,B787-9,G6,4/4/2023 2:50,,4/4/2023 14:10,4/3/2023 19:50,S,-4,0,87,Successful, ,1,,0,1,  ,OT,O ,0,94553830,YES,0,0,  ,0,112,0,2,2, ,789,0,Successful,,,16,Standard,0,SFO,2,SIN,0,Z5,Z5,,,,,1,1,,,,,,,,,,1,,Arrived,601,0,,4/4/2023 14:14,,4/3/2023 19:50,,,Hubs,5/22/2023 1:29,105,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 9:49,4/3/2023 16:49,4/3/2023,59,G6,,UA,SIN,2,4/3/2023,4/3/2023,4/3/2023 8:50,4/3/2023 15:50,4/3/2023,SIN,United,6217,403,10074,699,11779,898.25,14254,1140.7,,5,0,,2110,4,,14256,0,,,,125,,12,0,0,113,12,2,0,112,0,0,5,5,5,28,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,LHR,ATLANTIC,SFO,SFO,SFO,SFO,A0 Late,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,7:00 PM,19,Mainline,Non-STAR,Non-Priority,MST Failure,Non-delayed,International,4/3/2023,1,Apr,2023,112,112,Mon,0
ML,UA,863,4/3/2023,SFO,SFO,SYD,SYD,B777-300,B777-300,G6,4/4/2023 5:45,,4/5/2023 7:00,4/3/2023 22:45,S,18,-13,258,Late Opportunity, ,0,,0,0,XG,D-OT,T ,0,94553851,YES,7,1,  ,0,257,1,2,2, ,773,18,Defect - Customer,ATC,XC - Airport Conditions,142,Standard,7,SFO,878,HKG,0,Z5,Z5,,,,,1,1,,,,,,,,,,0,,Arrived,166,0,,4/5/2023 6:47,,4/3/2023 23:05,,,Hubs,5/22/2023 1:29,229,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 19:59,4/4/2023 2:59,4/4/2023,-6,G6,,UA,HKG,878,4/3/2023,4/3/2023,4/3/2023 20:05,4/4/2023 3:05,4/4/2023,HKG,United,2605,636,5766,1059,9409,1382,9534,1672.7,,0,33,,33749,1017,Catering,9809,0,Boarding_Start,After_Door_Close,,219,,152,1,7,59,159,11,0,257,31,1,5,5,6,29,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,ASIA AND SOUTH PACIFIC REGION,PACIFIC,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Include,-1,San Francisco,SYSTEM,SFO,1,1,10:00 PM,22,Mainline,Non-STAR,Priority,MST Failure,Delayed,International,4/3/2023,0,Apr,2023,257,257,Mon,0
ML,UA,60,4/3/2023,SFO,SFO,MEL,MEL,B787-9,B787-9,G4,4/4/2023 6:20,,4/5/2023 8:15,4/3/2023 23:20,S,14,13,141,Successful Hold, ,1,4/4/2023 6:38,18,0,OX,D-OT,O ,0,94553867,YES,1,0,  ,0,124,0,1,1, ,789,14,Defect - Departure,Process - controllable,OX - Connection Saver,63,Standard,1,SFO,892,ICN,0,Z5,Z5,,,,,1,1,,,,,,,,,,1,,Arrived,740,0,,4/5/2023 8:27,,4/3/2023 23:30,,,Hubs,5/22/2023 1:29,111,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 11:00,4/3/2023 18:00,4/3/2023,-25,G6,,UA,ICN,892,4/3/2023,4/3/2023,4/3/2023 11:25,4/3/2023 18:25,4/3/2023,ICN,United,10507,919,23950,1358,27661,1685,29237,2731.6,,5,11,,29017,0,Customer Hold,29726,0,Boarding_End,Cargo_Door_Close,Aircraft_Door_Close,185,,94,2,14,68,115,3,0,124,0,0,5,5,8,30,,,,,"ATW-Z5,BTW-Z5,SOC-5","ATW-Z5,BTW-Z5,SOC-5",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,ASIA AND SOUTH PACIFIC REGION,PACIFIC,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,11:00 PM,23,Mainline,Non-STAR,Non-Priority,MST Failure,Qualified Hold,International,4/3/2023,0,Apr,2023,124,124,Mon,0
ML,UA,1212,4/4/2023,SFO,SFO,PVR,PVR,A320-200,A320-200,E6,4/4/2023 15:40,,4/4/2023 13:27,4/4/2023 8:40,S,-1,13,89,Successful, ,1,,0,1,  ,OT,T ,0,94553941,YES,0,0,  ,0,143,1,4,3, ,320,0,Successful,,,14,Dynamic,0,SFO,1240,PHX,0,Z3,Z3,,,,,1,1,,,,,,,,,,1,,Arrived,70,0,,4/4/2023 13:41,,4/4/2023 8:40,,,Hubs,5/22/2023 1:29,143,D-I,Non-MST,,,,,,,4/4/2023,4/4/2023 7:30,4/4/2023 14:30,4/4/2023,-3,E6,,UA,PHX,1240,4/4/2023,4/4/2023,4/4/2023 7:33,4/4/2023 14:33,4/4/2023,PHX,United,476,610.5,777,878,1133,1270.25,1550,1744.85,,0,0,,0,0,,1630,0,,,,92,,9,24,2,57,11,4,0,143,10,1,1,1,6,46,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,8:00 AM,8,Mainline,Non-STAR,Priority,MST Failure,Non-delayed,International,4/4/2023,1,Apr,2023,143,143,Tue,10-Jun
ML,UA,821,4/4/2023,SFO,SFO,MEX,MEX,A319-100,A319-100,F4,4/4/2023 20:12,,4/4/2023 18:45,4/4/2023 13:12,S,4,-6,40,Successful Hold, ,1,4/4/2023 20:22,10,0,OX,D-OT,T ,0,94554106,YES,0,0,  ,0,56,0,3,3, ,319,4,Defect - Departure,Process - controllable,OX - Connection Saver,18,Standard,0,SFO,242,PDX,0,Z4,Z4,,,,,1,1,,,,,,,,,,1,,Arrived,113,0,,4/4/2023 18:32,,4/4/2023 13:12,,,Hubs,5/22/2023 1:29,54,D-I,Non-MST,,,,,,,4/4/2023,4/4/2023 11:19,4/4/2023 18:19,4/4/2023,-16,F4,,UA,PDX,242,4/4/2023,4/4/2023,4/4/2023 11:35,4/4/2023 18:35,4/4/2023,PDX,United,88,234.5,742,340,1265,527,2562,1010,,53,0,,2,0,Customer Hold,2625,0,Boarding_End,Last_Bag_On,After_Last_Bag_On,39,,12,0,4,22,17,2,0,56,61,1,4,4,14,20,,,,,"ATW-Z4,BTW-Z4,SOC-4","ATW-Z4,BTW-Z4,SOC-4",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,1:00 PM,13,Mainline,Non-STAR,Non-Priority,MST Failure,Qualified Hold,International,4/4/2023,0,Apr,2023,56,56,Tue,0
ML,UA,1679,4/4/2023,SFO,SFO,CUN,CUN,B737-MAX9,B737-900,F2,4/4/2023 15:45,,4/4/2023 16:10,4/4/2023 8:45,S,6,0,134,Late Opportunity, ,0,,0,0,VC,D-OT,T ,0,94554123,YES,0,0,  ,0,173,0,6,4, ,7M9,6,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,29,Dynamic,0,SFO,1483,LAS,0,Z4,Z4,,,,,1,1,,,,,,,,,,0,,Arrived,76,0,,4/4/2023 16:12,,4/4/2023 8:55,,,Hubs,5/22/2023 1:29,173,D-I,Non-MST,,,,,,,4/4/2023,4/4/2023 7:29,4/4/2023 14:29,4/4/2023,-9,F2,,UA,LAS,1483,4/4/2023,4/4/2023,4/4/2023 7:38,4/4/2023 14:38,4/4/2023,LAS,United,826,362.5,1591,733,1958,1078,3108,1503.3,,0,0,,0,0,Late Cabin Cleaning - Off,1379,0,Cleaners_Off,Cleaners_On,Cabin_Security,142,,27,30,0,85,27,1,0,173,6,1,4,4,3,40,,,,,"ATW-Z4,BTW-Z2,SOC-4","ATW-Z4,BTW-Z2,SOC-4",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,8:00 AM,8,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/4/2023,0,Apr,2023,173,173,Tue,10-Jun
ML,UA,412,4/4/2023,SFO,SFO,MEX,MEX,A319-100,A319-100,F1,4/5/2023 5:45,,4/5/2023 4:05,4/4/2023 22:45,S,-6,-8,38,Successful, ,1,,0,1,  ,OT,T ,0,94554174,YES,0,0,  ,0,44,0,4,3, ,319,0,Successful,,,21,Standard,0,SFO,2482,PDX,0,Z4,Z4,,,,,1,1,,,,,,,,,,1,,Arrived,93,0,,4/5/2023 3:58,,4/4/2023 22:45,,,Hubs,5/22/2023 1:29,40,D-I,Non-MST,,,,,,,4/4/2023,4/4/2023 21:12,4/5/2023 4:12,4/5/2023,-28,F1,,UA,PDX,2482,4/4/2023,4/4/2023,4/4/2023 21:40,4/5/2023 4:40,4/5/2023,PDX,United,112,155,221,319,427,515.25,502,636.25,,255,0,,342,1477,,884,0,,,,41,,15,0,0,26,15,3,0,44,41,1,4,4,5,25,,,,,"ATW-Z4,BTW-Z4,SOC-4","ATW-Z4,BTW-Z4,SOC-4",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 On Time,D0 On Time,Include,0,San Francisco,SYSTEM,SFO,1,1,10:00 PM,22,Mainline,Non-STAR,Non-Priority,MST Failure,Non-delayed,International,4/4/2023,1,Apr,2023,44,44,Tue,0
ML,UA,2051,4/4/2023,SFO,SFO,YVR,YVR,A319-100,A319-100,F15,4/4/2023 17:40,,4/4/2023 13:06,4/4/2023 10:40,S,17,20,101,Late Opportunity, ,0,,0,0,FR,Late,T ,0,94554329,YES,1,4,LT,0,120,0,4,3, ,319,3,Defect - Customer,Crew - uncontrollable,FR - Crew Legality,65,Quick,1,SFO,2371,DFW,0,No Zone,No Zone,,,,,1,1,,,,,,,,,,0,,Arrived,38,0,,4/4/2023 13:26,,4/4/2023 10:40,,,Hubs,5/22/2023 1:29,120,D-I,MST,,,,,,,4/4/2023,4/4/2023 10:02,4/4/2023 17:02,4/4/2023,12,F15,,UA,DFW,2371,4/4/2023,4/4/2023,4/4/2023 9:50,4/4/2023 16:50,4/4/2023,DFW,United,290,309.25,651,463,1072,704.25,1929,869.45,,0,0,,231,0,Local Bag,2139,0,Last_Bag_On,Boarding_Start,After_Boarding_End,103,,47,19,4,33,51,3,0,120,-14,1,3,3,4,25,,,,,"ATW-No Zone,BTW-No Zone,SOC-3","ATW-No Zone,BTW-No Zone,SOC-3",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,CANADA,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,10:00 AM,10,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/4/2023,0,Apr,2023,0,120,Tue,0
ML,UA,1189,4/4/2023,SFO,SFO,SJD,SJD,A320-200,A320-200,F3,4/4/2023 16:05,,4/4/2023 12:18,4/4/2023 9:05,S,-8,2,119,Successful, ,1,,0,1,  ,OT,O ,0,94554927,YES,0,0,  ,0,143,0,3,3, ,320,0,Successful,,,16,Standard,0,SFO,2756,MCI,0,Z4,No Zone,,,,,1,1,,,,,,,,,,1,,Arrived,835,0,,4/4/2023 12:17,,4/4/2023 9:05,,,Hubs,5/22/2023 1:29,143,D-I,Non-MST,,,,,,,4/3/2023,4/3/2023 19:10,4/4/2023 2:10,4/4/2023,96,HOLD1,,UA,MCI,2756,4/3/2023,4/3/2023,4/3/2023 17:34,4/4/2023 0:34,4/4/2023,MCI,United,243,341.75,464,603,1137,834.5,1283,1155.35,,0,0,,0,0,,1512,0,,,,116,,14,3,0,99,14,0,0,143,0,0,4,8,8,39,,,,,"ATW-Z4,BTW-Z4,SOC-4","ATW-No Zone,BTW-No Zone,SOC-8",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,MEXICO,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 On Time,Exclude,,San Francisco,SYSTEM,SFO,1,1,9:00 AM,9,Mainline,Non-STAR,Non-Priority,MST Failure,Non-delayed,International,4/4/2023,1,Apr,2023,143,143,Tue,0
ML,UA,1164,4/4/2023,SFO,SFO,YYZ,YYZ,B737-800,B737-800,E9,4/5/2023 5:56,,4/5/2023 7:00,4/4/2023 22:56,S,24,20,147,Late Opportunity, ,0,4/5/2023 6:08,12,0,RB,Late,T ,0,94555011,YES,3,2,LT,0,147,0,3,3, ,738,22,Defect - Customer,Process - controllable,OC - Other Carrier Controllable,100,Quick,3,SFO,1769,RDU,0,Z3,Z3,,,,,1,1,,,,,,,,,,0,,Arrived,63,0,,4/5/2023 7:23,,4/4/2023 23:20,,,Hubs,5/22/2023 1:29,147,D-I,MST,,,,,,,4/4/2023,4/4/2023 21:53,4/5/2023 4:53,4/5/2023,3,E9,,UA,RDU,1769,4/4/2023,4/4/2023,4/4/2023 21:50,4/5/2023 4:50,4/5/2023,RDU,United,2147,323,2682,580,3222,801.25,3579,967.1,,0,0,,0,2077,FA Cxn,3917,0,Crew_Flight_Attendant_Connection,Boarding_End,FA_Min,154,,88,5,21,31,118,1,0,147,-2,1,1,1,5,27,,,,,"ATW-Z3,BTW-Z1,SOC-1","ATW-Z3,BTW-Z1,SOC-1",INTERNATIONAL LINE STATIONS,GLOBAL LINE STATIONS,CANADA,THE AMERICAS,SFO,SFO,SFO,SFO,A0 Late,D0 Late,Exclude,,San Francisco,SYSTEM,SFO,1,1,10:00 PM,22,Mainline,Non-STAR,Non-Priority,MST Failure,Delayed,International,4/4/2023,0,Apr,2023,0,147,Tue,0
